Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11
0,-0.3860409498214722,0.2321680188179016,-0.07886821031570435,0.0,-0.16304691314697264,-0.1091530179977417,0.0001497054100036621,-0.21762212753295898,0.00021135330200195313,-0.010220947265625,-4.8695802688598634e-05,-0.05744653105735779
1,0.0016898965835571288,0.0019015765190124512,-0.15994855880737305,-0.07030345916748047,-0.002218432426452637,-0.11062953948974609,-0.16419577598571777,-0.06876137733459473,-0.19578321456909178,-0.03448961496353149,-0.009642547369003296,-0.09407813906669617
2,0.0034851956367492674,0.009140505790710449,-0.005098624229431152,0.0024926531314849853,0.005587087869644165,-0.0011136054992675782,-0.03587523102760315,-0.000788569450378418,-0.001731548309326172,-0.01119500994682312,-0.002270010709762573,-0.002635234594345093
3,4.043102264404297e-05,-0.000731266736984253,-0.000167008638381958,3.294944763183594e-06,-0.00805509924888611,0.0039432144165039065,-0.07132249593734741,-0.07380481719970704,-0.022161340713500975,0.008056644201278686,0.02270454406738281,-0.10217800259590148
4,-0.08261290431022644,-0.018283766508102418,0.0006549811363220215,-0.07899802923202515,-0.017662506103515625,-0.010275895595550538,-0.0029083681106567383,-6.0101747512817385e-05,0.00067740797996521,0.0004415178298950195,-0.0057407796382904054,0.0006233489513397216
5,-0.08389328837394715,-0.002826570272445679,-0.05009127736091614,-0.09731576442718506,-0.14294013381004333,-0.24744851350784303,0.019792293310165406,0.001433737277984619,0.00026785612106323243,2.2484064102172853e-05,-0.00046807408332824704,-0.003856483697891235
6,-0.031450328826904295,-0.0021638071537017824,-0.0002535271644592285,0.000285036563873291,-0.009797127246856689,-0.0020712172985076906,-0.01342735528945923,0.00034751415252685545,1.3239383697509766e-05,0.0010456383228302003,-0.004719153642654419,-0.0006816256046295166
7,-0.003250102996826172,0.006058372259140014,-0.017066158056259155,0.00017020225524902344,-0.0824883222579956,-0.008770507574081422,-0.06219503879547119,0.0025110924243927,0.0038951504230499267,-0.05685010671615601,0.0008654606342315674,-0.07371733188629151
8,-0.0014287781715393065,-0.00034191608428955076,0.00959666132926941,-0.0002557337284088135,-0.0036795055866241455,0.007043071985244751,0.003637058734893799,0.0010544753074645996,-0.0002410721778869629,-0.0007708001136779785,0.0005745291709899902,0.0014077818393707275
9,-0.00055894136428833,-0.00036884307861328124,0.010475877523422241,-0.0027392256259918214,0.003620197772979736,0.032952722311019894,-0.042152847051620486,-0.03384042382240295,-0.032405147552490236,-0.021985111236572267,-0.005985373258590698,-0.008406445980072022
10,-0.011849510669708251,-0.00589301586151123,-0.007280694246292114,-0.008129278421401978,-0.02582582235336304,-0.006948070526123047,-0.05842779517173767,-0.007211903333663941,0.004801784753799439,-0.031743311882019044,0.011418981552124024,0.0065258657932281494
11,-0.02017808198928833,-0.014367156028747559,0.004845213890075683,0.010746967792510987,-8.180379867553711e-05,0.021860151290893554,-0.07327640771865845,-0.03162248492240906,0.005769661664962769,0.010684194564819336,-0.10535173416137696,-0.11134030222892762
12,-0.027290122509002687,0.17994409680366516,0.014951540231704712,0.05598974108695984,-0.03751505970954895,-0.02866452097892761,-0.0014033794403076171,0.0007193899154663086,-0.00047306060791015627,0.006033852100372315,0.0006085205078125,0.0021235883235931397
13,-0.0003367722034454346,0.04840443253517151,-0.0011577332019805909,-0.007254053354263306,0.0005447506904602051,-0.011015338897705078,-0.011811655759811402,0.010230470895767212,-0.009586411714553832,-0.0010833787918090821,0.002115664482116699,0.02432655930519104
14,0.019500200748443604,0.016434580087661743,0.08047985196113587,0.19495399594306945,0.025868982076644897,0.000610431432723999,0.11286218404769897,-0.00461150050163269,-0.012620277404785156,0.007120338678359986,-0.08239872455596924,-0.0035785162448883057
15,0.025449957847595215,0.0830983567237854,0.046611052751541135,0.012416452169418335,-0.05426430702209473,0.0015125036239624023,-0.016166595220565797,0.0,0.0031306755542755125,-0.003509854078292847,0.0013557600975036622,0.002027444839477539
