Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Full_Layer_Impact
0,0.0006490151087443033,-0.00011789798736572266,0.0007721583048502604,0.00854945182800293,0.00044220685958862305,-0.0011540651321411133,-0.5924866298834482,0.0009615023930867513,0.013023356596628824,0.015992403030395508,-0.002565960089365641,-0.008722047011057535,0.0
1,-0.004320323467254639,-0.026816189289093018,0.0010720491409301758,0.003796557585398356,-0.02759339412053426,0.0003795226414998372,-0.004486521085103353,0.000949700673421224,-0.0004152854283650716,0.002927879492441813,0.004264851411183675,-0.0013187328974405925,0.0
2,0.009857753912607828,0.008542656898498535,-0.0002145965894063314,0.0022925138473510742,0.0004017551740010579,0.001926124095916748,0.00027634700139363605,0.00041302045186360675,0.0008218288421630859,-0.005314250787099202,0.0033041040102640786,0.0074282487233479815,0.0
3,0.0007208784421284994,0.007352789243062337,-0.001126428445180257,7.653236389160156e-05,0.00028278430302937824,-0.002151787281036377,-0.0010239879290262859,0.0027639071146647134,-0.003405749797821045,-0.008395512898763021,0.005489627520243327,0.00034131606419881183,0.0
4,-0.0037334163983662925,0.0008172194163004557,0.0003904898961385091,-0.0022716124852498374,0.0027422507603963218,-0.006883601347605388,0.0043175021807352705,8.404254913330078e-06,0.0009227991104125977,-0.0021141966183980307,0.005055089791615804,0.00033152103424072266,0.0
5,-0.0007429718971252441,0.004486838976542155,-0.006090422471364339,0.0017489790916442871,-0.0015661319096883137,-0.009230852127075195,0.0027654568354288736,0.0012677709261576335,-0.0012948314348856609,-0.08754136164983113,0.0006953676541646322,0.0013316869735717773,0.0
6,0.0027308265368143716,0.007015228271484375,0.0010618170102437337,0.0005646149317423502,-0.11216213305791219,0.0034801761309305825,-0.006648202737172444,0.0009461243947347006,0.0018935004870096843,0.00010850032170613606,0.00042752424875895184,0.004956066608428955,0.0
7,0.004235426584879558,-0.07177621126174927,0.0050198038419087725,-0.06989781061808269,-0.0033707618713378906,0.0015839139620463054,-0.0032286643981933594,0.008140484491984049,-0.01845236619313558,0.014446695645650228,-0.005328714847564697,-0.006224572658538818,0.0
8,0.0017642577489217122,0.0007575154304504395,0.0012362996737162273,0.007905522982279459,0.00140380859375,-0.0011363824208577473,-0.006337126096089681,7.172425587972005e-06,0.003988782564798991,-0.19594663381576538,-0.00033781925837198895,0.007372935612996419,0.0
9,-0.5643645326296488,-0.0001723170280456543,0.006751596927642822,0.005823075771331787,0.010833303133646647,-0.028118332227071125,0.006449540456136067,-0.00458371639251709,-0.00023365020751953125,0.007696767648061116,-0.0025350451469421387,0.011610289414723715,0.0
10,-0.008057097593943277,-0.214336891969045,0.007413784662882487,-0.010000944137573242,-0.014659186204274496,0.0066915154457092285,-0.09275935093561809,-0.08241703112920125,0.009190857410430908,0.013261258602142334,-0.07858131329218547,-0.014825642108917236,0.0
11,0.004589180151621501,-0.0008533994356791178,-0.006069183349609375,-0.002071996529897054,-0.00943217674891154,-0.036937832832336426,-0.003722230593363444,0.00850754976272583,0.009840110937754313,-0.06439413626988728,-0.010757625102996826,-0.03884432713190714,0.0
12,-0.00789878765741984,-0.27485162019729614,-0.018658777077992756,0.013735314210255941,-0.014596521854400635,0.011121749877929688,-0.006877342859903972,0.004528641700744629,0.0002123117446899414,0.003159463405609131,-0.23786298433939615,0.004107117652893066,0.0
13,0.006319959958394368,0.007988373438517252,-0.1444057822227478,0.002752244472503662,-0.0038410425186157227,-0.18340800205866495,-0.019689043362935383,0.01091235876083374,0.006711363792419434,-0.4566715757052104,-0.1250993013381958,-0.03972623745600382,0.0
14,-9.28044319152832e-05,-0.00042249759038289386,0.006800691286722819,-0.007926841576894125,3.910064697265625e-05,-8.227427800496419e-05,-0.02416817347208659,-0.32723865906397503,-0.31726499398549396,0.014336983362833658,0.010352075099945068,-0.0017195940017700195,0.0
15,-0.8161069756994644,-0.30145368973414105,-0.0028815666834513345,0.015945454438527424,-0.911440116353333,0.019620299339294434,-0.13959741592407227,0.008711973826090494,0.008012851079305014,-0.04047501087188721,-0.20156490802764893,-0.03723295529683431,0.0
16,-0.8905610643948118,-0.0015146533648173015,-0.017499128977457683,0.017731269200642902,-0.10733224948247273,-0.5382093886534373,0.002989490826924642,-0.010628024737040201,-0.004804948965708415,0.0005973974863688151,0.00754167636235555,0.004796067873636882,0.0
17,-0.035490453243255615,0.006677071253458659,-0.11146354675292969,-0.006720264752705892,-0.22726446390151978,0.004962563514709473,0.0024088025093078613,0.001085360844930013,-0.0007222692171732584,0.001961231231689453,-0.0009082754453023275,-0.004018425941467285,0.0
18,-0.3310371935367584,0.01227271556854248,-0.07919351259867351,-0.04145840803782145,-0.0023063023885091147,0.008264005184173584,-0.004183451334635417,0.00136643648147583,-0.002730389436086019,0.002099335193634033,-0.0013987421989440918,0.0019488334655761719,0.0
19,0.0002925594647725423,-0.0036675731341044107,0.00028020143508911133,0.005226810773213704,0.0008442004521687826,4.088878631591797e-05,-0.010364452997843424,-0.0027957955996195474,0.005080739657084147,-0.03225115935007731,-0.005912661552429199,-0.030598759651184082,0.0
20,0.003784656524658203,0.00023021300633748373,-0.0028806726137797036,-0.005189637343088786,0.0012278556823730469,-0.012274364630381266,0.005981584390004476,0.0046556393305460615,-0.08841462930043538,-0.018556455771128338,0.0016089677810668945,-0.0004140933354695638,0.0
21,-0.0012098153432210286,0.000427862008412679,-0.0027679006258646646,-0.002989510695139567,-0.0021250645319620767,-0.00568320353825887,0.005908767382303874,0.0031557480494181314,-0.002490520477294922,-0.017265697320302326,0.001809517542521159,-0.08336190382639568,0.0
22,-0.0065032243728637695,-0.0010359684626261394,0.001153409481048584,-0.00023974974950154623,0.001020669937133789,0.0004614392916361491,-0.0005013346672058105,-0.062311152617136635,0.001267075538635254,-0.0014751553535461426,-0.0033727288246154785,0.0008429487546284994,0.0
23,0.0012916326522827148,-0.0010118285814921062,0.000275274117787679,-0.0007989207903544108,-0.012201050917307535,-0.0004709760348002116,-0.0003355542818705241,-0.005507369836171468,9.179115295410156e-06,-0.0058904290199279785,4.706780115763346e-05,0.0027106602986653647,0.0
24,-7.62939453125e-05,-0.0018283526102701824,-0.000544587771097819,-0.00025693575541178387,-0.0019160906473795574,-9.196996688842773e-05,-0.0005691051483154297,0.0007657011349995931,0.005828599135080974,-0.0005956689516703287,-0.0011820793151855469,-0.00034173329671223957,0.0
25,-8.225440979003906e-05,-9.32614008585612e-05,-0.000861982504526774,-0.0082512895266215,-0.000583946704864502,-0.00013464689254760742,-0.0004189610481262207,-0.0012405117352803547,-0.0004347960154215495,0.00022904078165690103,-0.0010097821553548176,-0.00033368666966756183,0.0
26,0.00013011693954467773,0.0072441498438517255,-0.0019939939181009927,-0.00022780895233154297,0.004912455876668294,0.002135773499806722,-0.001506209373474121,0.0008897185325622559,0.0007218122482299805,0.0008959174156188965,0.0004958709081013998,-0.0001954833666483561,0.0
27,0.0001277923583984375,0.0023669004440307617,0.0010038216908772786,0.0005876421928405762,0.0011606216430664062,-0.013022541999816895,0.0006506045659383138,-0.008947968482971191,0.0023408730824788413,-0.011808653672536215,0.0021596352259318032,0.0008884867032368978,0.0
